# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: 5540888815d618d6
# generated: 2026-09-10T02:26:18+00:00
arm,class,n_clean,support_total,support_mean,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,n_folds
yolo26m,vibration,46,138,9.2,0.3573544973544973,0.21613415341683653,0.31481481481481477,0.20165394890445254,0.32267525021704585,0.19224737970063807,15
yolo26m,full_load_production,50,150,10.0,0.5621933621933621,0.16731778627905045,0.4999999999999999,0.16035674514745463,0.5106555604698019,0.12757547890190957,15
yolo26m,severe_insufficient_liquid_supply,52,156,10.4,0.8471723646723647,0.13877863137121318,0.8333333333333334,0.09121161783813583,0.8312587899867945,0.08415585129878864,15
yolo26m,pump_leakage,65,195,13.0,0.3807141489750185,0.11174491784016392,0.3743589743589745,0.14498277703020537,0.3715204173175187,0.11020796400844571,15
yolo26m,gas_influence_and_vibration,69,207,13.8,0.5364060629476451,0.14804147585475338,0.5018315018315018,0.14004703035791874,0.5026311098215329,0.11132222912398096,15
yolo26m,natural_flowing,85,255,17.0,0.4595260773138011,0.12404165007842687,0.48627450980392156,0.1685427446684051,0.4596101705875425,0.11493660134100009,15
yolo26m,insufficient_liquid_supply_and_vibration,106,318,21.2,0.7397748036573701,0.07751091112251762,0.6913419913419913,0.17235006853448337,0.6994007552907797,0.10672059765891483,15
yolo26m,severe_vibration,129,387,25.8,0.5731259873113214,0.14308216372512136,0.4591794871794871,0.15735758274567735,0.48871964381941513,0.09196146099361167,15
yolo26n,gas_influence,31,93,6.2,0.39194310047251224,0.15684944170537693,0.5555555555555556,0.2432547543202519,0.4463235069373177,0.16936324204692685,15
yolo26n,collide_pump_and_vibration,35,105,7.0,0.49010462304579955,0.0907967270076138,0.7333333333333333,0.20106615729971333,0.576943420643111,0.11211122026711616,15
yolo26n,vibration,46,138,9.2,0.3436465386465386,0.14535556927364282,0.3488888888888889,0.13476742000791894,0.3368109438509223,0.10952459411393264,15
yolo26n,full_load_production,50,150,10.0,0.6259056732740942,0.16390920571153886,0.6066666666666667,0.21201976547572388,0.6026166066712666,0.16837052579806505,15
