# All 45 single-pair merges, ranked by mean macro-F1 gain, per arm.
#
# THIS IS THE CONTROL for taxonomy_merge.csv. Merging any two of ten classes
# raises macro-F1 for free. The hypothesis is that the proposed pairs are not
# merely above zero but above the REST OF THIS DISTRIBUTION.
#
# `hypothesised` names the scenario a pair belongs to, and is blank for the
# other 43.
#
# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: f54363b409c11652
# generated: 2026-09-24T08:57:27+00:00
arm,class_a,class_b,n_folds,macro_f1_mean,macro_f1_sd,gain_mean,hypothesised,within_family,rank_in_arm,protocol
yolo26n,gas_influence,severe_vibration,15,0.532137,0.048649,0.009063,,False,17,uniform
yolo26n,collide_pump_and_vibration,vibration,15,0.531283,0.051869,0.008208,,False,18,uniform
yolo26n,gas_influence,natural_flowing,15,0.530373,0.048418,0.007298,,False,19,uniform
yolo26n,insufficient_liquid_supply_and_vibration,pump_leakage,15,0.530089,0.050737,0.007014,,False,20,uniform
yolo26n,gas_influence_and_vibration,insufficient_liquid_supply_and_vibration,15,0.529006,0.051095,0.005931,,False,21,uniform
yolo26n,gas_influence,insufficient_liquid_supply_and_vibration,15,0.528337,0.049548,0.005262,,False,22,uniform
yolo26n,collide_pump_and_vibration,pump_leakage,15,0.527866,0.050104,0.004792,,False,23,uniform
yolo26n,gas_influence_and_vibration,severe_vibration,15,0.527388,0.051903,0.004314,,False,24,uniform
yolo26n,collide_pump_and_vibration,gas_influence,15,0.525859,0.048596,0.002784,,False,25,uniform
yolo26n,full_load_production,gas_influence_and_vibration,15,0.525136,0.054318,0.002061,,False,26,uniform
yolo26n,gas_influence_and_vibration,natural_flowing,15,0.524392,0.053935,0.001317,,False,27,uniform
yolo26n,insufficient_liquid_supply_and_vibration,severe_vibration,15,0.52388,0.052396,0.000805,,False,28,uniform
yolo26n,collide_pump_and_vibration,natural_flowing,15,0.523811,0.051765,0.000736,,False,29,uniform
yolo26n,severe_insufficient_liquid_supply,vibration,15,0.522923,0.053865,-0.000152,,False,30,uniform
yolo26n,gas_influence,severe_insufficient_liquid_supply,15,0.52259,0.051436,-0.000484,,False,31,uniform
yolo26n,full_load_production,severe_vibration,15,0.520482,0.048354,-0.002592,,False,32,uniform
yolo26n,pump_leakage,severe_insufficient_liquid_supply,15,0.520005,0.053134,-0.00307,,False,33,uniform
yolo26n,collide_pump_and_vibration,insufficient_liquid_supply_and_vibration,15,0.519648,0.050401,-0.003426,,False,34,uniform
yolo26n,collide_pump_and_vibration,gas_influence_and_vibration,15,0.519481,0.051396,-0.003594,,False,35,uniform
yolo26n,full_load_production,natural_flowing,15,0.518945,0.05032,-0.00413,,False,36,uniform
yolo26n,insufficient_liquid_supply_and_vibration,natural_flowing,15,0.517554,0.053269,-0.005521,,False,37,uniform
yolo26n,collide_pump_and_vibration,full_load_production,15,0.515948,0.048923,-0.007126,,False,38,uniform
yolo26n,insufficient_liquid_supply_and_vibration,severe_insufficient_liquid_supply,15,0.512998,0.057249,-0.010077,,False,39,uniform
yolo26n,full_load_production,insufficient_liquid_supply_and_vibration,15,0.512374,0.050576,-0.010701,,False,40,uniform
